"ip","fetch_error","bogon","hostname","anycast","city","region","country","postal","loc","timezone","asn","asn_name","asn_domain","asn_route","asn_type","abuse_address","abuse_country","abuse_email","abuse_name","abuse_network","abuse_phone","company_name","company_domain","company_type","carrier_name","carrier_mcc","carrier_mnc","is_vpn","is_proxy","is_tor","is_relay","is_hosting","privacy_service"
"104.18.39.252",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","104.18.39.0/24","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","104.16.0.0/12","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"104.22.0.162",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","104.22.0.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","104.16.0.0/12","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"198.185.159.144",,,,true,"New York City","New York","US","10014","40.7339,-74.0054","America/New_York","AS53831","Squarespace, Inc.","squarespace.com","198.185.159.0/24","business","US, NY, New York, 225 Varick St, 10014","US","abuse-network@squarespace.com","Abuse","198.185.159.0/24","+1-347-758-4644","Squarespace, Inc.","squarespace.com","business",,,,false,false,false,false,false,""
"44.239.115.255",,,"ec2-44-239-115-255.us-west-2.compute.amazonaws.com",,"Boardman","Oregon","US","97818","45.8399,-119.7006","America/Los_Angeles","AS16509","Amazon.com, Inc.","amazon.com","44.224.0.0/11","hosting","US, WA, Seattle, Amazon Web Services Elastic Compute Cloud, EC2, 410 Terry Avenue North, 98109-5210","US","abuse@amazonaws.com","Amazon EC2 Abuse","44.224.0.0/11","+1-206-555-0000","Amazon.com, Inc.","amazon.com","hosting",,,,false,false,false,false,true,""
"192.124.249.152",,,"cloudproxy10152.sucuri.net",true,"Menifee","California","US","92584","33.7283,-117.1464","America/Los_Angeles","AS30148","Sucuri","sucuri.net","192.124.249.0/24","hosting","US, AZ, TEMPE, 2155 E GODADDY  WAY, 85284","US","soc@sucuri.net","Security Operations Center","192.124.249.0/24","+1-951-234-3945","Sucuri","sucuri.net","hosting",,,,false,false,false,false,true,""
"162.159.136.54",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","162.159.128.0/19","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","162.158.0.0/15","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"172.66.40.103",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","172.66.40.0/21","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","172.64.0.0/13","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"18.155.153.35",,,"server-18-155-153-35.ham50.r.cloudfront.net",,"Hamburg","Hamburg","DE","20038","53.5507,9.9930","Europe/Berlin","AS16509","Amazon.com, Inc.","amazon.com","18.155.152.0/21","hosting","US, WA, Seattle, Amazon Web Services Elastic Compute Cloud, EC2, 410 Terry Avenue North, 98109-5210","US","abuse@amazonaws.com","Amazon EC2 Abuse","18.154.0.0/15","+1-206-555-0000","Amazon.com, Inc.","amazon.com","hosting",,,,false,false,false,false,true,""
"104.26.6.65",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","104.26.0.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","104.16.0.0/12","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"104.22.73.116",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","104.22.64.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","104.16.0.0/12","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"13.227.219.74",,,"server-13-227-219-74.ams54.r.cloudfront.net",,"Amsterdam","North Holland","NL","1012","52.3740,4.8897","Europe/Amsterdam","AS16509","Amazon.com, Inc.","amazon.com","13.227.216.0/21","hosting","US, WA, Seattle, Amazon Web Services Elastic Compute Cloud, EC2, 410 Terry Avenue North, 98109-5210","US","abuse@amazonaws.com","Amazon EC2 Abuse","13.224.0.0/14","+1-206-555-0000","Amazon.com, Inc.","amazon.com","hosting",,,,false,false,false,false,true,""
"104.18.28.49",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","104.18.16.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","104.16.0.0/12","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"3.67.153.12",,,"ec2-3-67-153-12.eu-central-1.compute.amazonaws.com",,"Frankfurt am Main","Hesse","DE","60326","50.1025,8.6299","Europe/Berlin","AS16509","Amazon.com, Inc.","amazon.com","3.64.0.0/12","hosting","US, WA, Seattle, Amazon Web Services Elastic Compute Cloud, EC2, 410 Terry Avenue North, 98109-5210","US","abuse@amazonaws.com","Amazon EC2 Abuse","3.64.0.0/12","+1-206-555-0000","A100 ROW GmbH","amazon.com","hosting",,,,false,false,false,false,true,""
"172.67.159.180",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","172.67.144.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","172.64.0.0/13","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"27.50.75.9",,,"sau-65251-or.servercontrol.com.au",,"Sydney","New South Wales","AU","2032","-33.9260,151.2271","Australia/Sydney","AS45671","Wholesale Services Provider","serversaustralia.com.au","27.50.75.0/24","hosting","PO Box 3187, Tuggerah, NSW 2259","AU","abuse@as45671.net.au","Servers Australia Pty Ltd - Network Administrator","27.50.74.0-27.50.81.255","+61-2-81158888","Servers Australia Pty Ltd","serversaustralia.com.au","hosting",,,,false,false,false,false,true,""
"172.67.191.82",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","172.67.176.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","172.64.0.0/13","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"104.21.22.198",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","104.21.16.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","104.16.0.0/12","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"45.60.106.229",,,,true,"Redwood City","California","US","94065","37.5331,-122.2486","America/Los_Angeles","AS19551","Incapsula Inc","incapsula.com","45.60.106.0/24","hosting","US, CA, Redwood Shore, 3400 Bridge Parkway, Suite 200, 94065","US","abuse@incapsula.com","Imperva AbuseDesk","45.60.0.0/16","+1-866-250-7659","Incapsula Inc","imperva.com","hosting",,,,false,false,false,false,true,""
"104.219.248.96",,,"server136-4.web-hosting.com",,"Phoenix","Arizona","US","85001","33.4484,-112.0740","America/Phoenix","AS22612","Namecheap, Inc.","namecheap.com","104.219.248.0/24","hosting","US, CA, Los Angeles, 11400 W. Olympic Blvd. Suite 200, 90064","US","abuse@namecheaphosting.com","Abuse team","104.219.248.96/32","+1-323-375-2822","Namecheap, Inc.","namecheap.com","hosting",,,,false,false,false,false,true,""
"104.16.193.7",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","104.16.192.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","104.16.0.0/12","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"51.222.213.3",,,"ip3.ip-51-222-213.net",,"Montréal","Quebec","CA","H3A","45.5040,-73.5747","America/Toronto","AS16276","OVH SAS","ovhcloud.com","51.222.0.0/16","hosting","CA, QC, Montreal, 800-1801 McGill College, H3A 2N4","CA","abuse@ovh.ca","Abuse","51.222.213.0/24","+1-855-684-5463","OVH Hosting, Inc.","ovh.net","hosting",,,,false,false,false,false,true,""
"172.67.137.243",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","172.67.128.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","172.64.0.0/13","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"185.83.214.222",,,,,"Oslo","Oslo","NO","0001","59.9127,10.7461","Europe/Oslo","AS48357","K4X OU","k4x.com","185.83.214.0/24","hosting","LÃµÃµtsa tn 5 LasnamÃ¤e 11415 Estonia","EE","abuse@k4x.com","Abuse contact role object","185.83.214.0/24","","K4X","k4x.com","hosting",,,,false,false,false,false,true,""
"68.183.30.199",,,"581826.cloudwaysapps.com",,"North Bergen","New Jersey","US","07047","40.8043,-74.0121","America/New_York","AS14061","DigitalOcean, LLC","digitalocean.com","68.183.16.0/20","hosting","US, NY, New York, 101, Ave of the Americas, 10013","US","abuse@digitalocean.com","DigitalOcean Abuse","68.183.0.0/16","+1-347-875-6044","DigitalOcean, LLC","digitalocean.com","hosting",,,,false,false,false,false,true,""
"192.0.78.190",,,,true,"San Francisco","California","US","94110","37.7509,-122.4153","America/Los_Angeles","AS2635","Automattic, Inc","automattic.com","192.0.78.0/24","hosting","US, CA, San Francisco, 60 29th Street #343, 94110","US","abuse@automattic.com","Abuse","192.0.64.0/18","+1-877-273-8550","Automattic, Inc","automattic.com","hosting",,,,false,false,false,false,true,""
"23.23.135.144",,,"ec2-23-23-135-144.compute-1.amazonaws.com",,"Ashburn","Virginia","US","20147","39.0437,-77.4875","America/New_York","AS14618","Amazon.com, Inc.","amazon.com","23.22.0.0/15","hosting","US, WA, Seattle, Amazon Web Services Elastic Compute Cloud, EC2, 410 Terry Avenue North, 98109-5210","US","abuse@amazonaws.com","Amazon EC2 Abuse","23.20.0.0/14","+1-206-555-0000","Amazon Data Services NoVa","amazon.com","hosting",,,,false,false,false,false,true,""
"104.21.69.6",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","104.21.64.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","104.16.0.0/12","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"18.158.98.109",,,"ec2-18-158-98-109.eu-central-1.compute.amazonaws.com",,"Frankfurt am Main","Hesse","DE","60326","50.1025,8.6299","Europe/Berlin","AS16509","Amazon.com, Inc.","amazon.com","18.156.0.0/14","hosting","US, WA, Seattle, Amazon Web Services Elastic Compute Cloud, EC2, 410 Terry Avenue North, 98109-5210","US","abuse@amazonaws.com","Amazon EC2 Abuse","18.156.0.0/14","+1-206-555-0000","A100 ROW GmbH","amazon.com","hosting",,,,false,false,false,false,true,""
"104.22.42.245",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","104.22.32.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","104.16.0.0/12","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"192.0.78.168",,,,true,"San Francisco","California","US","94110","37.7509,-122.4153","America/Los_Angeles","AS2635","Automattic, Inc","automattic.com","192.0.78.0/24","hosting","US, CA, San Francisco, 60 29th Street #343, 94110","US","abuse@automattic.com","Abuse","192.0.64.0/18","+1-877-273-8550","Automattic, Inc","automattic.com","hosting",,,,false,false,false,false,true,""
"104.97.14.35",,,"a104-97-14-35.deploy.static.akamaitechnologies.com",,"Amsterdam","North Holland","NL","1012","52.3740,4.8897","Europe/Amsterdam","AS20940","Akamai International B.V.","akamai.com","104.97.14.0/23","hosting","US, MA, Cambridge, 8 Cambridge Center, Mailstop 926-G, 02142","US","abuse@akamai.com","NOC United States","104.64.0.0/10","+1-617-444-2535","Akamai Technologies, Inc.","akamai.com","hosting",,,,false,false,false,false,true,""
"194.67.106.135",,,"d40825.acod.regrucolo.ru",,"Moscow","Moscow","RU","101000","55.7522,37.6156","Europe/Moscow","AS49352","""Domain names registrar REG.RU"", Ltd","domainla.org","194.67.106.0/24","hosting","Russia, Moscow, Vassily Petushkova st., house 3, Office 326","RU","abuse@reg.ru","Reg.Ru Network Operations","194.67.96.0/19","+7 (495) 580-11-11","Domain names registrar REG.RU, Ltd","reg.ru","hosting",,,,false,false,false,false,true,""
"104.22.21.95",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","104.22.16.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","104.16.0.0/12","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"188.114.97.3",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","188.114.97.0/24","hosting","101 Townsend Street, San Francisco, CA 94107, US","DE","abuse@cloudflare.com","Cloudflare Abuse Contact","188.114.96.0/22","+49 89 2555 2276","CloudFlare, Inc.","cloudflare.com","hosting",,,,false,true,false,true,true,""
"23.185.0.4",,,,true,"San Francisco","California","US","94108","37.7929,-122.4079","America/Los_Angeles","AS54113","Fastly, Inc.","fastly.com","23.185.0.0/24","hosting","US, CA, San Francisco, 717 California Street, 2nd Floor, 94108","US","abuse@pantheon.io","Pantheon Abuse","23.185.0.0/24","+1-415-780-9765","Pantheon","pantheon.io","business",,,,false,false,false,false,false,""
"76.76.21.21",,,,true,"Walnut","California","US","91789","34.0183,-117.8546","America/Los_Angeles","AS16509","Amazon.com, Inc.","amazon.com","76.76.21.0/24","hosting","US, CA, Walnut, 340 S LEMON AVE #4133, 91789","US","abuse@vercel.com","Abuse","76.76.21.0/24","+1-416-535-0123","Vercel, Inc","nextjs.org","business",,,,false,false,false,false,false,""
"147.182.143.79",,,,,"North Bergen","New Jersey","US","07047","40.8043,-74.0121","America/New_York","AS14061","DigitalOcean, LLC","digitalocean.com","147.182.128.0/20","hosting","US, NY, New York, 101, Ave of the Americas, 10013","US","abuse@digitalocean.com","DigitalOcean Abuse","147.182.128.0/17","+1-347-875-6044","DigitalOcean, LLC","digitalocean.com","hosting",,,,false,false,false,false,true,""
"192.0.78.228",,,,true,"San Francisco","California","US","94110","37.7509,-122.4153","America/Los_Angeles","AS2635","Automattic, Inc","automattic.com","192.0.78.0/24","hosting","US, CA, San Francisco, 60 29th Street #343, 94110","US","abuse@automattic.com","Abuse","192.0.64.0/18","+1-877-273-8550","Automattic, Inc","automattic.com","hosting",,,,false,false,false,false,true,""
"151.101.66.159",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS54113","Fastly, Inc.","fastly.com","151.101.64.0/22","hosting","US, CA, San Francisco, PO Box 78266, 94107","US","abuse@fastly.com","Abuse Account","151.101.0.0/16","+1-415-496-9353","Fastly, Inc.","fastly.com","hosting",,,,false,false,false,false,true,""
"104.22.73.193",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","104.22.64.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","104.16.0.0/12","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"160.153.59.3",,,"3.59.153.160.host.secureserver.net",,"Phoenix","Arizona","US","85001","33.4484,-112.0740","America/Phoenix","AS398101","GoDaddy.com, LLC","godaddy.com","160.153.56.0/22","hosting","US, AZ, Tempe, 2155 E GoDaddy Way, 85284","US","abuse@godaddy.com","Abuse Department","160.153.0.0/16","+1-480-624-2505","GoDaddy.com, LLC","godaddy.com","hosting",,,,false,false,false,false,true,""
"185.230.63.186",,,"unalocated.63.wixsite.com",true,"Tel Aviv","Tel Aviv","IL",,"32.0809,34.7806","Asia/Jerusalem","AS58182","Wix.com Ltd.","wix.com","185.230.63.0/24","hosting","Namal Tel Aviv 40, 6350671, Tel Aviv, ISRAEL","US","abuse@wix.com","Abuse-C Role","185.230.63.0/24","","Wix.com Ltd.","wix.com","hosting",,,,false,false,false,false,true,""
"108.156.60.76",,,"server-108-156-60-76.ams1.r.cloudfront.net",,"Amsterdam","North Holland","NL","1012","52.3740,4.8897","Europe/Amsterdam","AS16509","Amazon.com, Inc.","amazon.com","108.156.56.0/21","hosting","US, WA, Seattle, Amazon Web Services Elastic Compute Cloud, EC2, 410 Terry Avenue North, 98109-5210","US","abuse@amazonaws.com","Amazon EC2 Abuse","108.156.0.0/14","+1-206-555-0000","Amazon.com, Inc.","amazon.com","hosting",,,,false,false,false,false,true,""
"162.0.229.159",,,"server299-2.web-hosting.com",,"Phoenix","Arizona","US","85001","33.4484,-112.0740","America/Phoenix","AS22612","Namecheap, Inc.","namecheap.com","162.0.229.0/24","hosting","US, CA, Los Angeles, 11400 W. Olympic Blvd. Suite 200, 90064","US","abuse@namecheaphosting.com","Abuse team","162.0.229.159/32","+1-323-375-2822","Namecheap, Inc.","namecheap.com","hosting",,,,false,false,false,false,true,""
"198.246.102.34",,,"www.atsdr.cdc.gov",,"Atlanta","Georgia","US","30333","33.8913,-84.0746","America/New_York","AS13611","U.S. Center For Disease Control and Prevention","cdc.gov","198.246.102.0/24","business","US, GA, Atlanta, 1600 Clifton Road, 30333","US","vcb9@cdc.gov","Hostmaster","198.246.96.0/19","+1-404-639-4918","U.S. Center For Disease Control and Prevention","cdc.gov","business",,,,false,false,false,false,false,""
"172.67.159.210",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","172.67.144.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","172.64.0.0/13","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"18.65.39.3",,,"server-18-65-39-3.ams1.r.cloudfront.net",,"Amsterdam","North Holland","NL","1012","52.3740,4.8897","Europe/Amsterdam","AS16509","Amazon.com, Inc.","amazon.com","18.65.32.0/21","hosting","US, WA, Seattle, Amazon Web Services Elastic Compute Cloud, EC2, 410 Terry Avenue North, 98109-5210","US","abuse@amazonaws.com","Amazon EC2 Abuse","18.64.0.0/14","+1-206-555-0000","Amazon.com, Inc.","amazon.com","hosting",,,,false,false,false,false,true,""
"45.60.45.229",,,,true,"Redwood City","California","US","94065","37.5331,-122.2486","America/Los_Angeles","AS19551","Incapsula Inc","incapsula.com","45.60.45.0/24","hosting","US, CA, Redwood Shore, 3400 Bridge Parkway, Suite 200, 94065","US","abuse@incapsula.com","Imperva AbuseDesk","45.60.0.0/16","+1-866-250-7659","Incapsula Inc","imperva.com","hosting",,,,false,false,false,false,true,""
"92.122.85.219",,,"a92-122-85-219.deploy.static.akamaitechnologies.com",,"Amsterdam","North Holland","NL","1012","52.3740,4.8897","Europe/Amsterdam","AS16625","Akamai Technologies, Inc.","akamai.com","92.122.84.0/22","hosting","Akamai Technologies, 8 Cambridge Center, 02142, Cambridge, MA, UNITED STATES","US","abuse@akamai.com","Abuse-C Role","92.122.84.0/22","+1-617-938-3130","Akamai Technologies","akamai.com","hosting",,,,false,false,false,false,true,""
"3.93.103.180",,,"ec2-3-93-103-180.compute-1.amazonaws.com",,"Ashburn","Virginia","US","20147","39.0437,-77.4875","America/New_York","AS14618","Amazon.com, Inc.","amazon.com","3.80.0.0/12","hosting","US, WA, Seattle, Amazon Web Services Elastic Compute Cloud, EC2, 410 Terry Avenue North, 98109-5210","US","abuse@amazonaws.com","Amazon EC2 Abuse","3.80.0.0/12","+1-206-555-0000","Amazon Data Services NoVa","amazon.com","hosting",,,,false,false,false,false,true,""
"208.103.124.88",,,,,"Pittsburgh","Pennsylvania","US","15212","40.4406,-79.9959","America/New_York","AS33154","DQE Communications LLC","dqecom.com","208.103.112.0/20","isp","US, PA, Pittsburgh, 424 South 27th Street, 15203","US","abuse@dqecom.com","Abuse","208.103.112.0/20","+1-877-263-8638","DQE Communications LLC","dqecom.com","isp",,,,false,false,false,false,false,""
"194.32.107.81",,,,,"Sandefjord","Vestfold og Telemark","NO","3241","59.1729,10.2149","Europe/Oslo","AS56655","TerraHost AS","terrahost.com","194.32.107.0/24","hosting","NORWAY, Sandefjord, 3241, Klinestadmoen 10","NO","abuse@terrahost.no","Abuse-C Role","194.32.107.0/24","+47 33 80 88 00","TerraHost AS","terrahost.no","hosting",,,,false,false,false,false,true,""
"65.9.86.34",,,"server-65-9-86-34.ams1.r.cloudfront.net",,"Amsterdam","North Holland","NL","1012","52.3740,4.8897","Europe/Amsterdam","AS16509","Amazon.com, Inc.","amazon.com","65.9.86.0/24","hosting","US, WA, Seattle, Amazon Web Services Elastic Compute Cloud, EC2, 410 Terry Avenue North, 98109-5210","US","abuse@amazonaws.com","Amazon EC2 Abuse","65.9.0.0/17","+1-206-555-0000","Amazon.com, Inc.","amazon.com","hosting",,,,false,false,false,false,true,""
"104.26.11.82",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","104.26.0.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","104.16.0.0/12","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"104.22.59.110",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","104.22.48.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","104.16.0.0/12","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"172.67.141.179",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","172.67.128.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","172.64.0.0/13","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"151.101.2.159",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS54113","Fastly, Inc.","fastly.com","151.101.0.0/22","hosting","US, CA, San Francisco, PO Box 78266, 94107","US","abuse@fastly.com","Abuse Account","151.101.0.0/16","+1-415-496-9353","Fastly, Inc.","fastly.com","hosting",,,,false,false,false,false,true,""
"151.101.193.171",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS54113","Fastly, Inc.","fastly.com","151.101.192.0/22","hosting","US, CA, San Francisco, PO Box 78266, 94107","US","abuse@fastly.com","Abuse Account","151.101.0.0/16","+1-415-496-9353","Fastly, Inc.","fastly.com","hosting",,,,false,false,false,false,true,""
"145.243.240.20",,,"bild-energie.de",,"Berlin","Berlin","DE","10969","52.5025,13.4012","Europe/Berlin","AS200757","Axel Springer SE","axelspringer.com","145.243.240.0/21","business","Axel Springer SE, Axel-Springer-Straße 65, 10888 Berlin, Germany","DE","abuse-ripe@axelspringer.de","Role-Account Axel Springer AG Abuse Department","145.243.0.0/16","","Axel Springer SE","axelspringer.com","isp",,,,false,false,false,false,false,""
"104.21.96.44",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","104.21.96.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","104.16.0.0/12","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"151.101.66.217",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS54113","Fastly, Inc.","fastly.com","151.101.64.0/22","hosting","US, CA, San Francisco, PO Box 78266, 94107","US","abuse@fastly.com","Abuse Account","151.101.0.0/16","+1-415-496-9353","Fastly, Inc.","fastly.com","hosting",,,,false,false,false,false,true,""
"184.73.189.53",,,"ec2-184-73-189-53.compute-1.amazonaws.com",,"Ashburn","Virginia","US","20147","39.0437,-77.4875","America/New_York","AS14618","Amazon.com, Inc.","amazon.com","184.73.0.0/16","hosting","US, WA, Seattle, Amazon Web Services Elastic Compute Cloud, EC2, 410 Terry Avenue North, 98109-5210","US","abuse@amazonaws.com","Amazon EC2 Abuse","184.73.0.0/16","+1-206-555-0000","Amazon Data Services NoVa","amazon.com","hosting",,,,false,false,false,false,true,""
"104.26.5.33",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","104.26.0.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","104.16.0.0/12","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"23.222.5.137",,,"a23-222-5-137.deploy.static.akamaitechnologies.com",,"Ashburn","Virginia","US","20147","39.0437,-77.4875","America/New_York","AS20940","Akamai International B.V.","akamai.com","23.222.5.0/24","hosting","US, MA, Cambridge, 8 Cambridge Center, Mailstop 926-G, 02142","US","abuse@akamai.com","NOC United States","23.222.0.0/20","+1-617-444-2535","Akamai International, BV","akamai.com","hosting",,,,false,false,false,false,true,""
"18.159.80.129",,,"ec2-18-159-80-129.eu-central-1.compute.amazonaws.com",,"Frankfurt am Main","Hesse","DE","60326","50.1025,8.6299","Europe/Berlin","AS16509","Amazon.com, Inc.","amazon.com","18.156.0.0/14","hosting","US, WA, Seattle, Amazon Web Services Elastic Compute Cloud, EC2, 410 Terry Avenue North, 98109-5210","US","abuse@amazonaws.com","Amazon EC2 Abuse","18.156.0.0/14","+1-206-555-0000","A100 ROW GmbH","amazon.com","hosting",,,,false,false,false,false,true,""
"192.104.183.209",,,"cms.newyork1.vip.townnews.com",,"New York City","New York","US","10004","40.7143,-74.0060","America/New_York","AS10668","Lee Enterprises, Incorporated","lee.net","192.104.183.0/24","business","US, IA, Davenport, 4600 E 53rd St, 52807","US","abuse@lee.net","Lee Enterprises - Net Admin","192.104.182.0-192.104.231.255","+1-563-383-2199","Lee Enterprises, Incorporated","lee.net","business",,,,false,false,false,false,false,""
"104.197.105.151",,,"151.105.197.104.bc.googleusercontent.com",,"Council Bluffs","Iowa","US","51502","41.2619,-95.8608","America/Chicago","AS396982","Google LLC","google.com","104.197.96.0/20","hosting","US, CA, Mountain View, 1600 Amphitheatre Parkway, 94043","US","google-cloud-compliance@google.com","GC Abuse","104.196.0.0/14","+1-650-253-0000","Google LLC","google.com","hosting",,,,false,false,false,false,true,""
