b,d,n,r,u,c,a,q,domain,f,P,t,p
RC,fairborndailyherald.com,Fairborn Daily Herald,H,https://mediabiasfactcheck.com/fairborn-daily-herald-bias/,H,L,[],fairborndailyherald.com,,,,
LC,fairobserver.com,Fair Observer,H,https://mediabiasfactcheck.com/fair-observer/,H,M,[],fairobserver.com,fairobserver,63.0,,
CP,faithit.com,FaithIt,M,https://mediabiasfactcheck.com/faithit/,L,L,[],faithit.com,,56.0,,
R,fakehatecrimes.org,Fake Hate Crimes,M,https://mediabiasfactcheck.com/fake-hate-crimes/,M,L,[],fakehatecrimes.org,,44.0,,
C,fakenewscodex.com,The Fake News Codex,VH,https://mediabiasfactcheck.com/the-fake-news-codex/,H,L,[],fakenewscodex.com,lovetheusaorgtfo,26.0,,
R,familysecuritymatters.org,Family Security Matters,M,https://mediabiasfactcheck.com/family-security-matters/,M,N,[],familysecuritymatters.org,,50.0,,
FN,familysurvivalheadlines.com,Family Survival Headlines,M,https://mediabiasfactcheck.com/family-survival-headlines/,L,L,"['PS', 'LT']",familysurvivalheadlines.com,TheUndergroundWorldNews,25.0,,
S,fark.com,FARK.com,,https://mediabiasfactcheck.com/fark-com-bias/,NA,H,[],fark.com,,,,
R,farleftwatch.com,Far Left Watch,M,https://mediabiasfactcheck.com/far-left-watch/,M,L,[],farleftwatch.com,TheFLW,37.0,farleftwatch,
FN,farsnews.ir,Fars News,M,https://mediabiasfactcheck.com/fars-news/,L,H,"['C', 'P', 'PS', 'FFC', 'FC', 'M', 'H', 'FN', 'PSE', 'CEN']",farsnews.ir,,,,
PS,fas.org,Federation of American Scientists,H,https://mediabiasfactcheck.com/federation-of-american-scientists-fas/,H,M,[],fas.org,fascientists,88.0,FAScientists,
FN,fashthenation.com,Fash the Nation,VL,https://mediabiasfactcheck.com/fash-the-nation/,L,N,"['C', 'P', 'PS', 'FC', 'M', 'H']",fashthenation.com,,35.0,,
LC,fastcompany.com,Fast Company,H,https://mediabiasfactcheck.com/fast-company-magazine/,H,H,[],fastcompany.com,FastCompany,95.0,fastcompany,
FN,fayettevillestandard.com,Fayetteville Standard,M,https://mediabiasfactcheck.com/fayetteville-standard/,L,L,"['LT', 'FC', 'IM']",fayettevillestandard.com,,3.0,,
C,fayobserver.com,Fayetteville Observer,H,https://mediabiasfactcheck.com/fayetteville-observer/,H,M,[],fayobserver.com,,59.0,,
RC,faz.net,Frankfurter Allgemeine Zeitung (FAZ),H,https://mediabiasfactcheck.com/frankfurter-allgemeine-zeitung-faz/,H,H,[],faz.net,,,,
RC,fbherald.com,Fort Bend Herald,H,https://mediabiasfactcheck.com/fort-bend-herald/,H,L,[],fbherald.com,,,,
FN,fbnewscycle.com,FBNewsCycle,L,https://mediabiasfactcheck.com/fbnewscycle/,L,N,[],fbnewscycle.com,,,,
RC,fcnews.org,Fulton County Expositor,H,https://mediabiasfactcheck.com/fulton-county-expositor-bias/,H,L,[],fcnews.org,,,,
FN,federalistpress.com,Federalist Press,M,https://mediabiasfactcheck.com/federalist-press/,L,L,"['PS', 'LT', 'M']",federalistpress.com,FederalistPress,26.0,,
C,federalnewsnetwork.com,Federal News Network,H,https://mediabiasfactcheck.com/federal-news-radio/,H,M,[],federalnewsnetwork.com,FedNewsNetwork,74.0,FederalNewsNet,
C,federaltimes.com,Federal Times,H,https://mediabiasfactcheck.com/federal-times/,H,L,[],federaltimes.com,FederalTimes,66.0,federaltimes,
S,fedsalert.com,FedsAlert,,https://mediabiasfactcheck.com/fedsalert/,NA,N,[],fedsalert.com,,16.0,,
R,fedsoc.org,Federalist Society,M,https://mediabiasfactcheck.com/federalist-society/,M,L,[],fedsoc.org,Federalist.Society,56.0,,
RC,fee.org,Foundation for Economic Education,M,https://mediabiasfactcheck.com/foundation-for-economic-education/,M,M,[],fee.org,feeonline,81.0,feeonline,
CP,fellowshipoftheminds.com,Fellowship of the Minds,L,https://mediabiasfactcheck.com/fellowship-of-the-minds/,L,L,[],fellowshipoftheminds.com,,60.0,,
FN,femalista.com,Femalista,M,https://mediabiasfactcheck.com/femalista/,L,L,"['PS', 'LT', 'M']",femalista.com,,33.0,,
L,feministcurrent.com,Feminist Current,M,https://mediabiasfactcheck.com/feminist-current/,M,L,[],feministcurrent.com,FeministCurrent,59.0,FeministCurrent,
LC,feministfrequency.com,Feminist Frequency,H,https://mediabiasfactcheck.com/feminist-frequency/,H,N,[],feministfrequency.com,femfreq,65.0,,
L,feministing.com,Feministing,H,https://mediabiasfactcheck.com/feministing/,H,L,[],feministing.com,feministing,80.0,,
R,ff.org,Frontiers of Freedom,M,https://mediabiasfactcheck.com/frontiers-of-freedom/,M,L,[],ff.org,FrontiersofFreedom,50.0,fof_liberty,
R,fff.org,Future of Freedom Foundation (FFF),M,https://mediabiasfactcheck.com/future-of-freedom-foundation-fff/,M,M,[],fff.org,,,,
L,ffrf.org,Freedom From Religion Foundation,M,https://mediabiasfactcheck.com/freedom-religion-foundation-ffrf/,M,L,[],ffrf.org,None,76.0,FFRF,
FN,fibrohealthnews.com,Washington News Press,VL,https://mediabiasfactcheck.com/washington-news-press/,L,N,"['C', 'P', 'PS', 'LT', 'FFC', 'FC', 'M', 'FN', 'PSE']",fibrohealthnews.com,,7.0,,
L,fifthestate.org,Fifth Estate,H,https://mediabiasfactcheck.com/fifth-estate/,H,L,[],fifthestate.org,FifthEstateMag,41.0,,
LC,fightforthefuture.org,Fight for the Future,H,https://mediabiasfactcheck.com/fight-for-the-future/,H,L,[],fightforthefuture.org,fightfortheftr,79.0,fightfortheftr,
R,fightpp.org,Life Decisions International,M,https://mediabiasfactcheck.com/life-decisions-international/,M,N,[],fightpp.org,,32.0,,
FN,filmingcops.com,Filming Cops,M,https://mediabiasfactcheck.com/filming-cops/,L,N,"['C', 'P', 'LT']",filmingcops.com,,44.0,,
RC,financialexpress.com,Financial Express,M,https://mediabiasfactcheck.com/financial-express/,M,H,[],financialexpress.com,thefinancialexpress,68.0,febdonline,
RC,financialpost.com,Financial Post,MF,https://mediabiasfactcheck.com/financial-post/,H,M,[],financialpost.com,financialpost,80.0,financialpost,
L,finnishnews.fi,Finnish News,MF,https://mediabiasfactcheck.com/finnish-news/,H,L,[],finnishnews.fi,,20.0,,
RC,firearmsnews.com,Firearms News,H,https://mediabiasfactcheck.com/firearms-news/,H,M,[],firearmsnews.com,,,,
FN,fireboebert.com,FireBoebert.com,M,https://mediabiasfactcheck.com/fireboebert-com-bias/,L,L,[],fireboebert.com,,,,
C,firstcoastnews.com,First Coast News,H,https://mediabiasfactcheck.com/first-coast-news/,H,M,[],firstcoastnews.com,,60.0,,
C,firstdraftnews.org,First Draft News,H,https://mediabiasfactcheck.com/first-draft-news/,H,L,[],firstdraftnews.org,FirstDraftNews?ref,68.0,firstdraftnews,
FN,firstinfreedomdaily.com,First in Freedom Daily,M,https://mediabiasfactcheck.com/first-freedom-daily/,L,L,"['C', 'P', 'PS', 'LT', 'M']",firstinfreedomdaily.com,FIFdaily,29.0,fifdaily,
FN,firststatetimes.com,First State Times,M,https://mediabiasfactcheck.com/first-state-times/,L,L,"['LT', 'FC', 'IM']",firststatetimes.com,,,,
R,firstthings.com,First Things Magazine,M,https://mediabiasfactcheck.com/first-things-magazine/,M,M,[],firstthings.com,FirstThings,82.0,firstthingsmag,
RC,fitchratings.com,Fitch Ratings,H,https://mediabiasfactcheck.com/fitch-ratings/,H,M,[],fitchratings.com,,58.0,,
RC,fitsnews.com,FitsNews,MF,https://mediabiasfactcheck.com/fitsnews/,M,L,[],fitsnews.com,fitsnews,47.0,fitsnews,
LC,fivethirtyeight.com,FivethirtyEight,H,https://mediabiasfactcheck.com/fivethirtyeight/,H,H,[],fivethirtyeight.com,fivethirtyeight,92.0,FiveThirtyEight,
FN,fl24.net,FL24.net,M,https://mediabiasfactcheck.com/fl24-net/,L,L,"['P', 'PS', 'LT', 'M']",fl24.net,,,,
FN,flagandcross.com,Flag & Cross,M,https://mediabiasfactcheck.com/flag-cross/,L,M,"['C', 'P', 'PS', 'LT', 'FFC', 'FC', 'M', 'PSE']",flagandcross.com,,37.0,,
S,flake.news,Flake News,,https://mediabiasfactcheck.com/flake-news/,NA,L,[],flake.news,,,,
FN,flashnewscorner.com,Flash News Corner,VL,https://mediabiasfactcheck.com/flash-news-corner/,L,N,[],flashnewscorner.com,,15.0,,
C,flippinonline.com,Mountaineer Echo,H,https://mediabiasfactcheck.com/mountaineer-echo-bias/,H,L,[],flippinonline.com,,,,
FN,floridaparishnews.com,Florida Parish News,M,https://mediabiasfactcheck.com/florida-parish-news-bias/,L,L,"['LT', 'FC', 'IM']",floridaparishnews.com,,,,
C,floridapolitics.com,Florida Politics,H,https://mediabiasfactcheck.com/florida-politics/,H,M,[],floridapolitics.com,,59.0,,
S,fmobserver.com,FM Observer,,https://mediabiasfactcheck.com/fm-observer/,NA,L,[],fmobserver.com,fmobserver,31.0,fmobserver,
FN,focusonthefamily.com,Focus on the Family,L,https://mediabiasfactcheck.com/focus-on-the-family/,L,M,"['P', 'PS', 'FFC', 'FC', 'M', 'PSE']",focusonthefamily.com,focusonthefamily,83.0,,
LC,focustaiwan.tw,Central News Agency (CNA) / Focus Taiwan,H,https://mediabiasfactcheck.com/central-news-agency-cna-focus-taiwan/,H,M,[],focustaiwan.tw,,67.0,,
C,followthemoney.org,National Institute on Money in Politics,H,https://mediabiasfactcheck.com/national-institute-money-state-politics/,H,M,[],followthemoney.org,FollowTheMoney.org,72.0,cfinst_org,
CP,food.news,Food.News,VL,https://mediabiasfactcheck.com/food-news/,L,L,[],food.news,,46.0,,
CP,foodbabe.com,Food Babe,M,https://mediabiasfactcheck.com/food-babe/,L,L,[],foodbabe.com,thefoodbabe,73.0,thefoodbabe,
CP,foodmatters.com,Food Matters,M,https://mediabiasfactcheck.com/food-matters/,L,M,[],foodmatters.com,foodmatters,73.0,foodmattersfilm,
LC,foodnavigator.com,Food Navigator,MF,https://mediabiasfactcheck.com/food-navigator-bias/,H,M,[],foodnavigator.com,,,,
LC,fool.com,The Motley Fool,H,https://mediabiasfactcheck.com/the-motley-fool/,H,H,[],fool.com,,76.0,,
RC,forbes.com,Forbes,MF,https://mediabiasfactcheck.com/forbes/,H,H,[],forbes.com,forbes,97.0,forbes,
C,foreignaffairs.com,Foreign Affairs,H,https://mediabiasfactcheck.com/foreign-affairs/,H,M,[],foreignaffairs.com,ForeignAffairs,84.0,foreignaffairs,
C,foreignpolicy.com,Foreign Policy,H,https://mediabiasfactcheck.com/foreign-policy/,H,H,[],foreignpolicy.com,foreign.policy.magazine,93.0,ForeignPolicy,
FN,foreignpolicyi.org,Foreign Policy Initiative,M,https://mediabiasfactcheck.com/foreign-policy-initiative/,L,L,"['LT', 'M', 'PSE']",foreignpolicyi.org,,60.0,,
L,foreignpolicynews.org,Foreign Policy News,M,https://mediabiasfactcheck.com/foreign-policy-news/,M,L,[],foreignpolicynews.org,ForeignPolicyNews,34.0,foreignpolicyns,
CP,foreverconscious.com,Forever Conscious,L,https://mediabiasfactcheck.com/forever-conscious/,L,M,[],foreverconscious.com,ForeverConscious,57.0,,
FN,fortherightnews.com,For the Right News,L,https://mediabiasfactcheck.com/for-the-right-news/,L,N,"['P', 'PS', 'LT', 'M']",fortherightnews.com,,16.0,,
RC,fortnightlyreview.co.uk,Fortnightly Review,H,https://mediabiasfactcheck.com/fortnightly-review/,H,L,[],fortnightlyreview.co.uk,,40.0,,
FN,fortsmithtimes.com,Fort Smith Times,M,https://mediabiasfactcheck.com/fort-smith-times/,L,L,"['LT', 'FC', 'IM']",fortsmithtimes.com,,1.0,,
RC,fortune.com,Fortune Magazine,H,https://mediabiasfactcheck.com/fortune-magazine/,H,H,[],fortune.com,FortuneMagazine,92.0,FortuneMagazine,
LC,forward.com,The Forward,H,https://mediabiasfactcheck.com/the-forward/,H,M,[],forward.com,jewishdailyforward,86.0,jdforward,
C,fosters.com,Foster's Daily Democrat,H,https://mediabiasfactcheck.com/fosters-daily-democrat/,H,L,[],fosters.com,,53.0,,
C,fourstateshomepage.com,FourstatesHomepage.com,H,https://mediabiasfactcheck.com/fourstateshomepage-com/,H,M,[],fourstateshomepage.com,,,,
C,fox10tv.com,WALA - Mobile News,H,https://mediabiasfactcheck.com/wala-mobile-news-bias/,H,M,[],fox10tv.com,,,,
RC,fox11online.com,WLUX - Fox 11,H,https://mediabiasfactcheck.com/wluk-fox-11/,H,M,[],fox11online.com,,,,
C,fox13memphis.com,WHBQ - Memphis News,H,https://mediabiasfactcheck.com/whbq-memphis-news-bias/,H,M,[],fox13memphis.com,,,,
C,fox16.com,KLRT - Little Rock News,H,https://mediabiasfactcheck.com/klrt-little-rock-news-bias/,H,M,[],fox16.com,,,,
RC,fox17.com,WZTV - Nashville,H,https://mediabiasfactcheck.com/wztv-nashville-bias/,H,M,[],fox17.com,,,,
C,fox19.com,WXIX - Cincinnati News,H,https://mediabiasfactcheck.com/wxix-cincinnati-news/,H,M,[],fox19.com,,,,
C,fox21news.com,KXRM - Colorado Springs News,H,https://mediabiasfactcheck.com/kxrm-colorado-springs-news/,H,M,[],fox21news.com,,,,
C,fox23.com,KOKI Fox23 - Tulsa,H,https://mediabiasfactcheck.com/koki-fox23-tulsa-bias/,H,M,[],fox23.com,,,,
RC,fox23maine.com,WPFO - Portland News,H,https://mediabiasfactcheck.com/wpfo-portland-news-bias/,H,L,[],fox23maine.com,,,,
RC,fox28media.com,WTGS - Savannah,H,https://mediabiasfactcheck.com/wtgs-savannah-bias/,H,M,[],fox28media.com,,,,
C,fox29.com,WTXF-TV Fox 29,H,https://mediabiasfactcheck.com/wtxf-tv-fox-29/,H,M,[],fox29.com,,56.0,,
C,fox2now.com,KTVI - St. Louis,H,https://mediabiasfactcheck.com/ktvi-st-louis/,H,M,[],fox2now.com,,,,
C,fox35orlando.com,WOFL Fox 35 Orlando,H,https://mediabiasfactcheck.com/wofl-fox-35-orlando/,H,H,[],fox35orlando.com,,56.0,,
RC,fox38corpuschristi.com,KSCC - Corpus Christi News,H,https://mediabiasfactcheck.com/kscc-corpus-christi-news-bias/,H,L,[],fox38corpuschristi.com,,,,
C,fox40.com,KTXL - Sacramento News,H,https://mediabiasfactcheck.com/ktxl-sacramento-news/,H,M,[],fox40.com,,,,
RC,fox42kptm.com,KPTM - Omaha News,H,https://mediabiasfactcheck.com/kptm-omaha-news-bias/,H,L,[],fox42kptm.com,,,,
C,fox43.com,WPMT - York News,H,https://mediabiasfactcheck.com/wmpt-york-news-bias/,H,M,[],fox43.com,,,,
C,fox44news.com,KWKT - Waco News,H,https://mediabiasfactcheck.com/kwkt-waco-news-bias/,H,L,[],fox44news.com,,,,
C,fox46.com,WJZY - Charlotte,H,https://mediabiasfactcheck.com/wjzy-charlotte-bias/,H,M,[],fox46.com,,,,
RC,fox47.com,WMSN - Madison News,H,https://mediabiasfactcheck.com/wmsn-madison-news-bias/,H,M,[],fox47.com,,,,
RC,fox4beaumont.com,KBTV - Beaumont News,H,https://mediabiasfactcheck.com/kbtv-beaumont-news-bias/,H,L,[],fox4beaumont.com,,,,
C,fox4kc.com,WDFA - Kansas City News,H,https://mediabiasfactcheck.com/wdaf-kansas-city-news-bias/,H,M,[],fox4kc.com,,,,
C,fox4now.com,WFTX - Fort Myers News,H,https://mediabiasfactcheck.com/wftx-fort-meyers-news-bias/,H,M,[],fox4now.com,,,,
RC,fox56.com,WOLF - Fox56,H,https://mediabiasfactcheck.com/wolf-fox56-bias/,H,L,[],fox56.com,,,,
C,fox59.com,WXIN - Fox59 - Indianapolis,H,https://mediabiasfactcheck.com/wxin-fox59-indianapolis-bias/,H,M,[],fox59.com,,,,
C,fox5sandiego.com,KSWB - Fox5 - San Diego,H,https://mediabiasfactcheck.com/kswb-fox5-san-diego-bias/,H,M,[],fox5sandiego.com,,,,
C,fox61.com,WTIC - Hartford News,H,https://mediabiasfactcheck.com/wtic-hartford-news/,H,M,[],fox61.com,,,,
C,fox8.com,WJW - Cleveland News,H,https://mediabiasfactcheck.com/wjw-cleveland-news-bias/,H,H,[],fox8.com,,,,
C,fox8live.com,WVUE - New Orleans News,H,https://mediabiasfactcheck.com/wvue-new-orleans-news-bias/,H,M,[],fox8live.com,,,,
RC,foxbaltimore.com,WBFF - Baltimore News,H,https://mediabiasfactcheck.com/wbff-baltimore-news-bias/,H,M,[],foxbaltimore.com,,,,
RC,foxbusiness.com,Fox Business,MF,https://mediabiasfactcheck.com/fox-business/,H,H,[],foxbusiness.com,,77.0,,
C,foxcarolina.com,WHNS - Greenville News,H,https://mediabiasfactcheck.com/whns-greenville-news-bias/,H,M,[],foxcarolina.com,,,,
RC,foxchattanooga.com,WTVC - Chattanooga,H,https://mediabiasfactcheck.com/wtvc-chattanooga-bias/,H,M,[],foxchattanooga.com,,,,
RC,foxillinois.com,Foxillinois.com (WRSP - WCCU),H,https://mediabiasfactcheck.com/foxillinois-com-wrsp-wccu/,H,L,[],foxillinois.com,,,,
RC,foxkansas.com,KSAS - Wichita News,H,https://mediabiasfactcheck.com/ksas-wichita-news-bias/,H,L,[],foxkansas.com,,,,
RC,foxlexington.com,WDKY - Lexington News,H,https://mediabiasfactcheck.com/wdky-lexington-news/,H,L,[],foxlexington.com,,,,
RC,foxnebraska.com,KFXL - Lincoln News,H,https://mediabiasfactcheck.com/kfxl-lincoln-news-bias/,H,L,[],foxnebraska.com,,,,
FN,foxnews.com,Fox News,M,https://mediabiasfactcheck.com/fox-news/,L,H,"['C', 'P', 'PS', 'FFC', 'FC', 'M', 'PSE']",foxnews.com,FoxNews,97.0,foxnews,
RC,foxreno.com,KRXI - Fox 11,H,https://mediabiasfactcheck.com/krxi-fox-11/,H,M,[],foxreno.com,,,,
RC,foxrichmond.com,WRLH - Richmond News,H,https://mediabiasfactcheck.com/wrlh-richmond-news-bias/,H,L,[],foxrichmond.com,,,,
RC,foxrochester.com,WUHF - Rochester,H,https://mediabiasfactcheck.com/wuhf-rochester-bias/,H,L,[],foxrochester.com,,,,
RC,foxsanantonio.com,KABB - Fox 29,H,https://mediabiasfactcheck.com/kabb-fox-29-bias/,H,M,[],foxsanantonio.com,,,,
LC,fpif.org,Foreign Policy in Focus,H,https://mediabiasfactcheck.com/foreign-policy-focus/,H,L,[],fpif.org,Foreign-Policy-In-Focus,73.0,FPIF,
RC,fpri.org,Foreign Policy Research Institute,H,https://mediabiasfactcheck.com/foreign-policy-research-institute/,H,M,[],fpri.org,FPRInews,67.0,,
FN,fr.sputniknews.com,Sputnik News Agency - France,VL,https://mediabiasfactcheck.com/sputnik-news-agency-france-bias/,L,M,"['C', 'P', 'LT', 'FFC', 'FC', 'M', 'CEN']",fr.sputniknews.com,,,,
FN,fr24news.com,FR24 News,M,https://mediabiasfactcheck.com/fr24-news/,L,M,"['PS', 'LT', 'PG', 'IM']",fr24news.com,,,,
FN,france24-tv.com,France24-tv.com,VL,https://mediabiasfactcheck.com/france24-tv-com/,L,N,[],france24-tv.com,,8.0,,
C,france24.com,France 24,H,https://mediabiasfactcheck.com/france24/,H,H,[],france24.com,,91.0,,
LC,francetvinfo.fr,France Info,H,https://mediabiasfactcheck.com/france-info/,H,H,[],francetvinfo.fr,,70.0,,
RC,franklinnews.org,Franklin News Foundation,M,https://mediabiasfactcheck.com/franklin-center-for-government-and-public-integrity/,M,L,[],franklinnews.org,FranklinCenterHQ,45.0,franklincenter,
S,frankmag.ca,Frank Mag,,https://mediabiasfactcheck.com/frank-mag/,NA,L,[],frankmag.ca,frankmagottawa,32.0,,
FN,frankspeech.com,Frank Speech,VL,https://mediabiasfactcheck.com/frank-speech-mike-lindell/,L,L,"['C', 'P', 'PS', 'LT', 'FFC', 'FC', 'M', 'FN', 'PSE']",frankspeech.com,,,,
FN,frc.org,Family Research Council,L,https://mediabiasfactcheck.com/family-research-council/,L,M,"['C', 'P', 'FFC', 'FC', 'M', 'H']",frc.org,familyresearchcouncil,59.0,FRCAction,
LC,freakonomics.com,Freakonomics,H,https://mediabiasfactcheck.com/freakonomics-radio/,H,M,[],freakonomics.com,freakonomics,85.0,,
FN,freakoutnation.com,Freakout Nation,L,https://mediabiasfactcheck.com/freakout-nation/,L,N,[],freakoutnation.com,,46.0,,
C,fredericknewspost.com,Frederick News-Post,H,https://mediabiasfactcheck.com/frederick-news-post-bias/,H,M,[],fredericknewspost.com,,,,
C,fredericksburg.com,Fredericksburgh Free Lance Star,H,https://mediabiasfactcheck.com/fredericksburg-free-lance-star-bias/,H,M,[],fredericksburg.com,,,,
FN,free-speechfront.info,Free-Speech Front,L,https://mediabiasfactcheck.com/free-speech-front/,L,L,"['C', 'P', 'PS', 'LT', 'FC', 'M', 'H']",free-speechfront.info,,,,
R,freebeacon.com,Washington Free Beacon,M,https://mediabiasfactcheck.com/washington-free-beacon/,M,M,[],freebeacon.com,None,82.0,FreeBeacon,
CP,freedom.news,Freedom.News,VL,https://mediabiasfactcheck.com/freedom-news/,L,L,[],freedom.news,,32.0,,
CP,freedomainradio.com,Freedomain Radio,L,https://mediabiasfactcheck.com/freedomain-radio/,L,L,[],freedomainradio.com,None,55.0,freedomainradio,
RC,freedomalliance.org,Freedom Alliance,H,https://mediabiasfactcheck.com/freedom-alliance-bias-rating/,H,N,[],freedomalliance.org,,52.0,,
R,freedomandprosperity.org,Center for Freedom and Prosperity,M,https://mediabiasfactcheck.com/center-for-freedom-and-prosperity/,M,L,[],freedomandprosperity.org,,,,
R,freedomcrossroads.com,Freedom Cross Roads,M,https://mediabiasfactcheck.com/freedom-crossroads/,M,N,[],freedomcrossroads.com,,21.0,,
FN,freedomdaily.com,Freedom Daily,L,https://mediabiasfactcheck.com/freedom-daily/,L,N,[],freedomdaily.com,,46.0,,
S,freedomfictions.com,Freedom Fictions,,https://mediabiasfactcheck.com/freedom-fictions/,NA,L,[],freedomfictions.com,,,,
FN,freedomfirstnetwork.com,Freedom First Network,L,https://mediabiasfactcheck.com/freedom-first-network/,L,L,"['C', 'P', 'PS', 'LT', 'FFC', 'FC', 'M', 'FN', 'PSE']",freedomfirstnetwork.com,,,,
RC,freedomhouse.org,Freedom House,H,https://mediabiasfactcheck.com/freedom-house/,H,M,[],freedomhouse.org,FreedomHouseDC,83.0,FreedomHouse,
L,freedomnews.org.uk,Freedom News and Journal,H,https://mediabiasfactcheck.com/freedom-news-and-journal/,H,L,[],freedomnews.org.uk,FreedomNews1886,39.0,Freedom_Paper,
FN,freedomnewsreport.com,Freedom News Report,M,https://mediabiasfactcheck.com/freedom-news-report/,L,L,"['P', 'LT', 'M']",freedomnewsreport.com,,22.0,,
FN,freedomproject.com,FreedomProject Media,L,https://mediabiasfactcheck.com/freedomproject-media/,L,L,"['C', 'P', 'PS', 'LT', 'FFC', 'FC', 'M']",freedomproject.com,,,,
FN,freedomsfinalstand.com,Freedom's Final Stand,L,https://mediabiasfactcheck.com/freedoms-final-stand/,L,N,[],freedomsfinalstand.com,washingtonspress,26.0,,
R,freedomworks.org,FreedomWorks,M,https://mediabiasfactcheck.com/freedom-works/,M,L,[],freedomworks.org,FreedomWorks,74.0,FreedomWorks,
S,freedumjunkshun.com,Freedum Junkshun,,https://mediabiasfactcheck.com/freedum-junkshun/,NA,N,[],freedumjunkshun.com,,22.0,,
C,freemanjournal.net,Daily Freeman-Journal,H,https://mediabiasfactcheck.com/daily-freeman-journal-bias/,H,L,[],freemanjournal.net,,,,
LC,freep.com,Detroit Free Press,H,https://mediabiasfactcheck.com/detroit-free-press/,H,H,[],freep.com,detroitfreepress,90.0,freep,
LC,freepress.net,FreePress.net,H,https://mediabiasfactcheck.com/free-press/,H,L,[],freepress.net,,,,
L,freepress.org,FreePress.org,MF,https://mediabiasfactcheck.com/free-press-2/,M,L,[],freepress.org,freepress.org,58.0,freepressorg,
FN,freetelegraph.com,The Free Telegraph,M,https://mediabiasfactcheck.com/the-free-telegraph/,L,L,"['P', 'LT']",freetelegraph.com,freetelegraph,28.0,freetelegraph,
FN,freewestmedia.com,Free West Media,M,https://mediabiasfactcheck.com/free-west-media/,L,L,"['C', 'P', 'PS', 'LT', 'FFC', 'FC', 'M']",freewestmedia.com,Free,38.0,,
C,freewheelus.com,Free Wheel Media,H,https://mediabiasfactcheck.com/free-wheel-media/,H,N,[],freewheelus.com,FreeWheelMedia,9.0,FreeWheel_Media,
CP,freeworldnews.tv,Freeworldnews.tv,VL,https://mediabiasfactcheck.com/freeworldnews-tv/,L,M,[],freeworldnews.tv,,,,
C,fremonttribune.com,Fremont Tribune,H,https://mediabiasfactcheck.com/fremont-tribune-bias/,H,L,[],fremonttribune.com,,,,
FN,fresnoleader.com,Fresno Leader,M,https://mediabiasfactcheck.com/fresno-leader/,L,L,"['LT', 'FC', 'IM']",fresnoleader.com,,5.0,,
FN,friatider.se,Fria Tider (Free Times),L,https://mediabiasfactcheck.com/fria-tider-free-times/,L,H,"['P', 'PS', 'FFC', 'FC']",friatider.se,,47.0,,
CP,friendsofscience.org,Friends of Science,M,https://mediabiasfactcheck.com/friends-of-science/,L,N,[],friendsofscience.org,None,44.0,FriendsOScience,
L,frnewsreport.com,Free Rein News,H,https://mediabiasfactcheck.com/free-rein-report/,H,N,[],frnewsreport.com,freereinreport,9.0,,
CP,fromthetrenchesworldreport.com,From the Trenches World Report,L,https://mediabiasfactcheck.com/from-the-trenches-world-report/,L,L,[],fromthetrenchesworldreport.com,From,58.0,,
FN,front.moveon.org,MoveOn,M,https://mediabiasfactcheck.com/move-on/,L,M,"['FFC', 'M']",front.moveon.org,moveon,85.0,moveon,
PS,frontiersin.org/journals/psychology,Frontiers in Psychology,H,https://mediabiasfactcheck.com/frontiers-in-psychology/,H,H,[],frontiersin.org/journals/psychology,Frontiersin,63.0,frontiersin,/journals/psychology
RC,frontiersman.com,Mat-Su Valley Frontiersman,H,https://mediabiasfactcheck.com/mat-su-valley-frontiersman-bias/,H,L,[],frontiersman.com,,,,
L,frontpagelive.com,Front Page Live,MF,https://mediabiasfactcheck.com/front-page-live/,H,M,[],frontpagelive.com,frontpagelive,32.0,frontpage_live,
FN,frontpagemag.com,FrontPage Magazine,L,https://mediabiasfactcheck.com/frontpage-magazine/,L,M,"['C', 'P', 'FFC', 'FC', 'M', 'H', 'PSE']",frontpagemag.com,frontpagemag,84.0,horowitz39,
C,ft.com,Financial Times,H,https://mediabiasfactcheck.com/financial-times/,H,H,[],ft.com,,97.0,FinancialTimes,
C,ftleavenworthlamp.com,Fort Leavenworth Lamp,H,https://mediabiasfactcheck.com/fort-leavenworth-lamp-bias/,H,L,[],ftleavenworthlamp.com,,,,
FN,ftwaynetimes.com,Ft Wayne Times,M,https://mediabiasfactcheck.com/ft-wayne-times-bias/,L,L,"['LT', 'FC', 'IM']",ftwaynetimes.com,,,,
C,fullfact.org,Full Fact UK,H,https://mediabiasfactcheck.com/full-fact-uk/,H,M,[],fullfact.org,fullfact.org,76.0,FullFact,
LC,fusion.net,Fusion,H,https://mediabiasfactcheck.com/fusion/,H,N,[],fusion.net,fusiontv,77.0,fusiontv,
PS,futurism.com,Futurism,H,https://mediabiasfactcheck.com/futurism/,H,M,[],futurism.com,,83.0,futurism,
FN,fwdnow.com,FWD Now,M,https://mediabiasfactcheck.com/fwd-now/,L,N,[],fwdnow.com,,20.0,,
LC,fwweekly.com,Fort Worth Weekly,H,https://mediabiasfactcheck.com/fort-worth-weekly/,H,L,[],fwweekly.com,FortWorthWeekly,65.0,fortworthweekly,
LC,gadsdentimes.com,Gadsden Times,H,https://mediabiasfactcheck.com/gadsden-times-bias/,H,M,[],gadsdentimes.com,,,,
FN,gadsdentoday.com,Gadsden Today,M,https://mediabiasfactcheck.com/gadsden-today/,L,L,"['LT', 'FC', 'IM']",gadsdentoday.com,,4.0,,
